TODO,LOC,TODO/LOC,FILE
5,372,1.34%,Userland/Libraries/LibSoftGPU/PixelConverter.cpp
12,1421,0.84%,Userland/Libraries/LibSoftGPU/Device.cpp
4,190,2.11%,Userland/Libraries/LibSoftGPU/Sampler.cpp
2,144,1.39%,Userland/Libraries/LibSoftGPU/Clipper.cpp
1,116,0.86%,Userland/Libraries/LibXML/DOM/DocumentTypeDeclaration.h
7,1350,0.52%,Userland/Libraries/LibXML/Parser/Parser.cpp
1,10,10.00%,Userland/Libraries/LibXML/FundamentalTypes.h
1,110,0.91%,Userland/Libraries/LibLine/SuggestionManager.h
2,426,0.47%,Userland/Libraries/LibLine/Editor.h
3,475,0.63%,Userland/Libraries/LibLine/InternalFunctions.cpp
7,1878,0.37%,Userland/Libraries/LibLine/Editor.cpp
3,363,0.83%,Userland/Libraries/LibWeb/Loader/FrameLoader.cpp
3,325,0.92%,Userland/Libraries/LibWeb/Loader/ResourceLoader.cpp
3,162,1.85%,Userland/Libraries/LibWeb/Loader/Resource.cpp
1,134,0.75%,Userland/Libraries/LibWeb/Loader/ImageLoader.cpp
11,217,5.07%,Userland/Libraries/LibWeb/Bindings/LocationObject.cpp
8,178,4.49%,Userland/Libraries/LibWeb/Bindings/LegacyPlatformObject.cpp
1,56,1.79%,Userland/Libraries/LibWeb/Bindings/CSSNamespace.cpp
2,38,5.26%,Userland/Libraries/LibWeb/Bindings/MainThreadVM.h
1,33,3.03%,Userland/Libraries/LibWeb/Bindings/PlatformObject.h
14,265,5.28%,Userland/Libraries/LibWeb/Bindings/MainThreadVM.cpp
2,105,1.90%,Userland/Libraries/LibWeb/ReferrerPolicy/AbstractOperations.cpp
2,233,0.86%,Userland/Libraries/LibWeb/URL/URL.cpp
23,403,5.71%,Userland/Libraries/LibWeb/WebAssembly/WebAssemblyObject.cpp
1,67,1.49%,Userland/Libraries/LibWeb/WebAssembly/WebAssemblyInstanceObject.cpp
1,60,1.67%,Userland/Libraries/LibWeb/WebAssembly/WebAssemblyObject.h
2,14,14.29%,Userland/Libraries/LibWeb/Tests/DOM/document.documentElement.js
3,31,9.68%,Userland/Libraries/LibWeb/Tests/DOM/Element.js
1,13,7.69%,Userland/Libraries/LibWeb/Tests/DOM/Comment.js
1,12,8.33%,Userland/Libraries/LibWeb/Tests/DOM/document.createComment.js
1,13,7.69%,Userland/Libraries/LibWeb/Tests/DOM/Text.js
1,12,8.33%,Userland/Libraries/LibWeb/Tests/DOM/document.createTextNode.js
1,52,1.92%,Userland/Libraries/LibWeb/Tests/DOM/Node.js
1,10,10.00%,Userland/Libraries/LibWeb/Tests/DOM/document.createDocumentFragment.js
7,35,20.00%,Userland/Libraries/LibWeb/Tests/HTML/document.body.js
1,18,5.56%,Userland/Libraries/LibWeb/Tests/HTML/HTMLTemplateElement.js
2,14,14.29%,Userland/Libraries/LibWeb/Tests/HTML/document.head.js
1,92,1.09%,Userland/Libraries/LibWeb/Crypto/Crypto.cpp
2,65,3.08%,Userland/Libraries/LibWeb/Crypto/SubtleCrypto.cpp
4,33,12.12%,Userland/Libraries/LibWeb/IntersectionObserver/IntersectionObserver.cpp
2,37,5.41%,Userland/Libraries/LibWeb/Layout/BlockContainer.cpp
1,328,0.30%,Userland/Libraries/LibWeb/Layout/LayoutState.cpp
3,237,1.27%,Userland/Libraries/LibWeb/Layout/InlineLevelIterator.cpp
7,687,1.02%,Userland/Libraries/LibWeb/Layout/BlockFormattingContext.cpp
2,73,2.74%,Userland/Libraries/LibWeb/Layout/SVGFormattingContext.cpp
2,33,6.06%,Userland/Libraries/LibWeb/Layout/FrameBox.cpp
30,1476,2.03%,Userland/Libraries/LibWeb/Layout/FlexFormattingContext.cpp
2,273,0.73%,Userland/Libraries/LibWeb/Layout/TableFormattingContext.cpp
